,Unnamed: 0,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
93,93,Lexus,2005.0,Foreign Used,95873.0,3300.0,Petrol,Automatic,"5,200,000",SUV
94,94,Land Rover,2018.0,Foreign Used,30092.0,3000.0,Diesel,Automatic,"36,750,000",SUV
95,95,Fiat,2000.0,Foreign Used,286241.0,24000.0,Diesel,Manual,"3,675,000",SUV
96,96,Toyota,2011.0,Foreign Used,215398.0,3500.0,Petrol,Automatic,"4,725,000",SUV
97,97,Mercedes-Benz,2010.0,Nigerian Used,112360.0,4600.0,Petrol,Automatic,"6,240,000",SUV
98,98,Toyota,2010.0,Foreign Used,170599.0,3500.0,Petrol,Automatic,"6,825,000",SUV
99,99,Lexus,2007.0,Foreign Used,348830.0,3500.0,Petrol,Automatic,"4,095,000",SUV
100,100,Lexus,2010.0,Foreign Used,344424.0,3500.0,Petrol,Automatic,"9,048,000",SUV
101,101,Lexus,2007.0,Nigerian Used,170778.0,3300.0,Petrol,Automatic,"4,680,000",SUV
102,102,Toyota,2012.0,Foreign Used,122807.0,3500.0,Petrol,Automatic,"8,820,000",SUV
103,103,Mercedes-Benz,2014.0,Nigerian Used,173644.0,1800.0,Petrol,Automatic,"6,090,000",SUV
104,104,Mercedes-Benz,2007.898534697263,Nigerian Used,59295.0,3274.9765625,Petrol,Automatic,"5,610,000",SUV
105,105,Mercedes-Benz,2010.0,Nigerian Used,112360.0,4600.0,Petrol,Automatic,"6,240,000",SUV
106,106,Acura,2007.0,Foreign Used,233488.0,3700.0,Petrol,Automatic,"3,570,000",SUV
107,107,Toyota,2015.0,Foreign Used,88627.0,3500.0,Petrol,Automatic,"15,600,000",SUV
108,108,Acura,2011.0,Nigerian Used,90726.0,3700.0,Petrol,Automatic,"4,200,000",SUV
109,109,Mercedes-Benz,2014.0,Nigerian Used,152669.0,4700.0,Petrol,Automatic,"13,520,000",SUV
110,110,Toyota,2015.0,Nigerian Used,47602.0,3500.0,Petrol,Automatic,"9,660,000",SUV
111,111,Toyota,2008.0,Foreign Used,132566.0,4700.0,Petrol,Automatic,"8,320,000",SUV
112,112,Lexus,2007.0,Foreign Used,255839.0,3500.0,Petrol,Automatic,"5,460,000",SUV
113,113,Toyota,2013.0,Nigerian Used,126686.0,3500.0,Petrol,Automatic,"7,280,000",SUV
114,114,Lexus,2010.0,Foreign Used,344424.0,3500.0,Petrol,Automatic,"9,048,000",SUV
115,115,Lexus,2005.0,Foreign Used,95873.0,3300.0,Petrol,Automatic,"5,200,000",SUV
116,116,Land Rover,2013.0,Nigerian Used,76069.0,4500.0,Petrol,Automatic,"4,200,000",SUV
117,117,Toyota,2007.0,Foreign Used,401813.0,2400.0,Petrol,Automatic,"3,885,000",SUV
118,118,Lexus,2002.0,Foreign Used,119143.0,3000.0,Petrol,Automatic,"3,848,000",SUV
119,119,Land Rover,2011.0,Nigerian Used,26628.0,5000.0,Petrol,Automatic,"9,360,000",SUV
120,120,Mercedes-Benz,2006.0,Nigerian Used,231361.0,5000.0,Petrol,Automatic,"3,675,000",SUV
121,121,Lexus,2007.0,Foreign Used,175135.0,3500.0,Petrol,Automatic,"4,500,000",SUV
122,122,Tata,2008.0,Foreign Used,182533.65556660038,371000.0,Diesel,Manual,"17,850,000",SUV
123,123,Lexus,2010.0,Nigerian Used,140073.0,3500.0,Petrol,Automatic,"4,784,000",SUV
124,124,Toyota,2004.0,Foreign Used,294359.0,2400.0,Petrol,Automatic,"4,160,000",SUV
125,125,Saturn,2007.0,Nigerian Used,182533.65556660038,3600.0,Petrol,Automatic,"3,150,000",SUV
126,126,Mercedes-Benz,2015.0,Foreign Used,39662.0,3500.0,Petrol,Automatic,"14,560,000",SUV
127,127,Porsche,2004.0,Foreign Used,359713.0,4500.0,Petrol,Automatic,"4,200,000",SUV
128,128,Mercedes-Benz,2010.0,Nigerian Used,96957.0,3500.0,Petrol,Automatic,"6,240,000",SUV
129,129,Toyota,2014.0,Foreign Used,65308.0,2000.0,Petrol,Automatic,"9,450,000",SUV
130,130,Lexus,2007.0,Foreign Used,198969.0,2500.0,Petrol,Automatic,"4,992,000",SUV
131,131,Toyota,2007.0,Foreign Used,149184.0,4000.0,Petrol,Automatic,"6,448,000",SUV
132,132,Lexus,2009.0,Foreign Used,173307.0,3500.0,Petrol,Automatic,"4,500,000",SUV
133,133,Toyota,2009.0,Foreign Used,208827.0,2400.0,Petrol,Automatic,"3,952,000",SUV
134,134,Lexus,2006.0,Foreign Used,376865.0,3500.0,Petrol,Automatic,"4,680,000",SUV
135,135,Lexus,2014.0,Foreign Used,139592.0,4600.0,Petrol,Automatic,"23,920,000",SUV
136,136,Lexus,2008.0,Nigerian Used,97315.0,3200.0,Petrol,Automatic,"3,640,000",SUV
137,137,Lexus,2010.0,Nigerian Used,140073.0,3500.0,Petrol,Automatic,"4,784,000",SUV
138,138,Toyota,2015.0,Foreign Used,96531.0,3500.0,Petrol,Automatic,"10,290,000",SUV
139,139,Acura,2011.0,Nigerian Used,78613.0,3700.0,Petrol,Automatic,"6,240,000",SUV
140,140,Lexus,2006.0,Foreign Used,100763.0,3000.0,Petrol,Automatic,"3,150,000",SUV
141,141,Mercedes-Benz,2010.0,Foreign Used,182533.65556660038,2500.0,Petrol,Automatic,"4,200,000",SUV
142,142,Toyota,2007.0,Nigerian Used,104336.0,2400.0,Petrol,Automatic,"3,328,000",SUV
143,143,Lexus,2007.0,Foreign Used,65060.0,3500.0,Petrol,AMT,"3,885,000",SUV
144,144,Mercedes-Benz,2007.0,Nigerian Used,1966.0,35.0,Petrol,Automatic,"5,720,000",SUV
145,145,Toyota,2017.0,Foreign Used,107748.0,2500.0,Petrol,Automatic,"12,600,000",SUV
146,146,Lexus,2011.0,Foreign Used,137902.0,3000.0,Petrol,Automatic,"4,992,000",SUV
147,147,Mercedes-Benz,2009.0,Nigerian Used,121829.0,4600.0,Petrol,Automatic,"5,720,000",SUV
148,148,Mercedes-Benz,2010.0,Nigerian Used,96957.0,3500.0,Petrol,Automatic,"6,240,000",SUV
149,149,Mercedes-Benz,2013.0,Foreign Used,232813.0,4700.0,Petrol,Automatic,"14,560,000",SUV
150,150,Lexus,2007.0,Foreign Used,124511.0,3500.0,Petrol,Automatic,"4,200,000",SUV
151,151,Mercedes-Benz,2010.0,Foreign Used,182533.65556660038,2500.0,Petrol,Automatic,"4,200,000",SUV
152,152,Lexus,2015.0,Nigerian Used,24855.0,3500.0,Petrol,Automatic,"10,920,000",SUV
153,153,Land Rover,2006.0,Foreign Used,213515.0,4400.0,Petrol,Automatic,"3,150,000",SUV
154,154,Toyota,2011.0,Nigerian Used,114388.0,4000.0,Petrol,Automatic,"10,500,000",SUV
155,155,Mercedes-Benz,2008.0,Foreign Used,227689.0,3500.0,Petrol,Automatic,"3,885,000",SUV
156,156,Toyota,2010.0,Foreign Used,236601.0,2500.0,Petrol,Automatic,"6,448,000",SUV
157,157,Land Rover,2016.0,Foreign Used,102429.0,35.0,Petrol,Automatic,"36,750,000",SUV
158,158,Toyota,2017.0,Foreign Used,107748.0,2500.0,Petrol,Automatic,"12,600,000",SUV
159,159,Lexus,2006.0,Foreign Used,100763.0,3000.0,Petrol,Automatic,"3,150,000",SUV
160,160,Mercedes-Benz,2011.0,Nigerian Used,112122.0,4700.0,Petrol,Automatic,"6,760,000",SUV
161,161,Lexus,2007.0,Nigerian Used,170778.0,3300.0,Petrol,Automatic,"4,680,000",SUV
162,162,Lexus,2004.0,Nigerian Used,98430.0,4700.0,Petrol,Automatic,"4,680,000",SUV
163,163,Toyota,2008.0,Foreign Used,93474.0,3500.0,Petrol,Automatic,"6,300,000",SUV
164,164,Toyota,2011.0,Foreign Used,211357.0,2500.0,Petrol,Automatic,"4,515,000",SUV
165,165,Mercedes-Benz,2015.0,Foreign Used,168946.0,3500.0,Petrol,Automatic,"17,680,000",SUV
166,166,Toyota,2015.0,Nigerian Used,67161.0,2500.0,Petrol,Automatic,"10,400,000",SUV
167,167,Lexus,2007.0,Foreign Used,104138.0,3500.0,Petrol,Automatic,"5,928,000",SUV
168,168,Toyota,2010.0,Foreign Used,158684.0,2500.0,Petrol,Automatic,"3,780,000",SUV
169,169,Mercedes-Benz,2012.0,Foreign Used,165585.0,3500.0,Petrol,Automatic,"13,520,000",SUV
170,170,Toyota,2008.0,Nigerian Used,118743.0,3500.0,Petrol,Automatic,"4,784,000",SUV
171,171,Toyota,2010.0,Foreign Used,131164.0,2700.0,Petrol,Automatic,"6,090,000",SUV
172,172,Toyota,2009.0,Foreign Used,168603.0,2500.0,Petrol,Automatic,"4,620,000",SUV
173,173,Lexus,2009.0,Foreign Used,246462.0,3500.0,Petrol,Automatic,"5,200,000",SUV
174,174,Mercedes-Benz,2006.0,Nigerian Used,231361.0,5000.0,Petrol,Automatic,"3,675,000",SUV
175,175,Land Rover,2014.0,Nigerian Used,56908.0,5000.0,Petrol,Automatic,"26,000,000",SUV
176,176,Lexus,2008.0,Foreign Used,200262.0,35000.0,Petrol,Automatic,"4,680,000",SUV
177,177,Toyota,2009.0,Nigerian Used,205371.0,3500.0,Petrol,Automatic,"7,072,000",SUV
178,178,Mercedes-Benz,2006.0,Nigerian Used,380097.0,5000.0,Petrol,Automatic,"5,200,000",SUV
179,179,Mercedes-Benz,2015.0,Foreign Used,39662.0,3500.0,Petrol,Automatic,"14,560,000",SUV
180,180,Lexus,2001.0,Foreign Used,199731.0,3000.0,Petrol,Automatic,"3,150,000",SUV
181,181,Lexus,2008.0,Foreign Used,85901.0,3500.0,Petrol,Automatic,"3,885,000",SUV
182,182,Toyota,2005.0,Foreign Used,260730.0,4700.0,Petrol,Automatic,"4,992,000",SUV
183,183,Toyota,2007.0,Foreign Used,274477.0,2400.0,Petrol,Automatic,"3,640,000",SUV
184,184,Toyota,2011.0,Nigerian Used,114388.0,4000.0,Petrol,Automatic,"10,500,000",SUV
185,185,Toyota,2011.0,Foreign Used,166839.0,2500.0,Petrol,Automatic,"4,160,000",SUV
186,186,Mercedes-Benz,2007.898534697263,Nigerian Used,118616.0,3274.9765625,Petrol,Automatic,"11,210,000",SUV
187,187,Toyota,2014.0,Foreign Used,70649.0,3500.0,Petrol,Automatic,"8,400,000",SUV
188,188,Mercedes-Benz,2008.0,Nigerian Used,215559.0,3274.9765625,Petrol,Automatic,"6,032,000",SUV
189,189,Mercedes-Benz,2008.0,Nigerian Used,650.0,4000.0,Petrol,Automatic,"6,760,000",SUV
190,190,Acura,2011.0,Nigerian Used,90726.0,3700.0,Petrol,Automatic,"4,200,000",SUV
191,191,Toyota,2013.0,Nigerian Used,79393.0,4700.0,Petrol,Automatic,"26,000,000",SUV
192,192,Lexus,2004.0,Nigerian Used,98430.0,4700.0,Petrol,Automatic,"4,680,000",SUV
193,193,Toyota,2010.0,Foreign Used,237886.0,2400.0,Petrol,Automatic,"3,675,000",SUV
194,194,Lexus,2006.0,Nigerian Used,144513.0,3300.0,Petrol,Automatic,"3,744,000",SUV
195,195,Toyota,2015.0,Nigerian Used,67161.0,2500.0,Petrol,Automatic,"10,400,000",SUV
196,196,Mercedes-Benz,2016.0,Nigerian Used,62476.0,3500.0,Petrol,Automatic,"15,750,000",SUV
197,197,Lexus,2008.0,Nigerian Used,224605.0,4600.0,Petrol,Automatic,"4,725,000",SUV
198,198,Toyota,2016.0,Foreign Used,149753.0,2500.0,Hybrid,Automatic,"5,985,000",SUV
199,199,Toyota,2013.0,Foreign Used,169183.0,2700.0,Petrol,Automatic,"8,610,000",SUV
200,200,Mercedes-Benz,2013.0,Foreign Used,222344.0,3500.0,Petrol,Automatic,"8,925,000",SUV
201,201,Toyota,2011.0,Foreign Used,93785.0,3000.0,Petrol,Automatic,"8,528,000",SUV
202,202,Mercedes-Benz,2010.0,Nigerian Used,299309.0,4600.0,Petrol,Automatic,"5,775,000",SUV
203,203,Toyota,2009.0,Foreign Used,137397.0,2400.0,Petrol,Automatic,"3,952,000",SUV
204,204,Acura,2011.0,Nigerian Used,178050.0,3700.0,Petrol,Automatic,"5,200,000",SUV
205,205,Toyota,2015.0,Foreign Used,218139.0,2700.0,Petrol,Automatic,"8,925,000",SUV
206,206,Mercedes-Benz,2008.0,Foreign Used,175183.0,3000.0,Petrol,Automatic,"4,680,000",SUV
207,207,Toyota,2010.0,Foreign Used,158684.0,2500.0,Petrol,Automatic,"3,780,000",SUV
208,208,Mercedes-Benz,2014.0,Foreign Used,83189.0,2000.0,Petrol,Automatic,"11,232,000",SUV
209,209,Land Rover,2006.0,Nigerian Used,113872.0,4400.0,Petrol,Automatic,"3,120,000",SUV
210,210,Mercedes-Benz,2007.0,Nigerian Used,110228.0,4500.0,Petrol,Automatic,"5,200,000",SUV
211,211,Toyota,2011.0,Foreign Used,257742.0,3500.0,Petrol,Automatic,"4,935,000",SUV
212,212,Toyota,2014.0,Foreign Used,86077.0,3500.0,Petrol,Automatic,"14,700,000",SUV
213,213,Toyota,2012.0,Nigerian Used,76334.0,3500.0,Petrol,Automatic,"5,565,000",SUV
214,214,Lexus,2014.0,Foreign Used,139592.0,4600.0,Petrol,Automatic,"23,920,000",SUV
215,215,Mercedes-Benz,2011.0,Nigerian Used,193201.0,3500.0,Petrol,Automatic,"5,616,000",SUV
216,216,Toyota,2007.0,Nigerian Used,104336.0,2400.0,Petrol,Automatic,"3,328,000",SUV
217,217,Mercedes-Benz,2006.0,Foreign Used,239529.0,5000.0,Petrol,Automatic,"4,515,000",SUV
218,218,Land Rover,2006.0,Foreign Used,118872.0,3500.0,Petrol,Automatic,"3,150,000",SUV
219,219,Toyota,2014.0,Foreign Used,89208.0,2500.0,Petrol,Automatic,"5,250,000",SUV
220,220,Lexus,2008.0,Nigerian Used,186699.0,3500.0,Petrol,Automatic,"3,640,000",SUV
221,221,Lexus,2007.0,Nigerian Used,156579.0,3500.0,Petrol,Automatic,"5,200,000",SUV
222,222,Lexus,2014.0,Nigerian Used,69129.0,4600.0,Petrol,Automatic,"18,375,000",SUV
223,223,Land Rover,2011.0,Nigerian Used,7842.0,4000.0,Petrol,Automatic,"6,825,000",SUV
224,224,Toyota,2010.0,Nigerian Used,106427.0,3500.0,Petrol,Automatic,"6,968,000",SUV
225,225,Toyota,2016.0,Foreign Used,55055.0,2500.0,Petrol,Automatic,"6,720,000",SUV
226,226,Toyota,2007.0,Foreign Used,401813.0,2400.0,Petrol,Automatic,"3,885,000",SUV
227,227,Lexus,2008.0,Foreign Used,323768.0,3500.0,Petrol,Automatic,"3,832,500",SUV
228,228,Lincoln,2019.0,Nigerian Used,35976.0,2000.0,Petrol,Automatic,"17,850,000",SUV
229,229,Toyota,2017.0,Nigerian Used,101979.0,3500.0,Petrol,Automatic,"15,600,000",SUV
230,230,Toyota,2015.0,Foreign Used,40962.0,2500.0,Petrol,Automatic,"10,400,000",SUV
231,231,Toyota,2011.0,Foreign Used,142689.0,2400.0,Petrol,Automatic,"4,680,000",SUV
232,232,Mercedes-Benz,2012.0,Nigerian Used,99661.0,3500.0,Petrol,Automatic,"7,280,000",SUV
233,233,Land Rover,2011.0,Nigerian Used,7842.0,4000.0,Petrol,Automatic,"6,825,000",SUV
234,234,Mercedes-Benz,2010.0,Foreign Used,242841.0,3500.0,Petrol,Automatic,"6,615,000",SUV
235,235,Lexus,2012.0,Foreign Used,135295.0,3500.0,Petrol,Automatic,"7,072,000",SUV
236,236,Mercedes-Benz,2013.0,Nigerian Used,90604.0,4700.0,Petrol,Automatic,"15,600,000",SUV
237,237,Land Rover,2006.0,Nigerian Used,137818.0,4000.0,Petrol,Automatic,"3,328,000",SUV
238,238,Lexus,2007.0,Nigerian Used,177336.0,3500.0,Petrol,Automatic,"3,650,000",SUV
239,239,Toyota,2010.0,Foreign Used,159981.0,3500.0,Petrol,Automatic,"7,560,000",SUV
240,240,Land Rover,2010.0,Nigerian Used,140366.0,50000.0,Petrol,Automatic,"4,200,000",SUV
241,241,Lexus,2012.0,Foreign Used,134949.0,3500.0,Petrol,Automatic,"10,192,000",SUV
242,242,Toyota,2008.0,Foreign Used,197403.0,3500.0,Petrol,Automatic,"4,200,000",SUV
243,243,Lexus,2007.0,Foreign Used,258585.0,35000.0,Petrol,Automatic,"4,160,000",SUV
244,244,Toyota,2005.0,Foreign Used,260730.0,4700.0,Petrol,Automatic,"4,992,000",SUV
245,245,Lexus,2009.0,Foreign Used,246462.0,3500.0,Petrol,Automatic,"5,200,000",SUV
246,246,Mercedes-Benz,2014.0,Nigerian Used,51111.0,2000.0,Petrol,Automatic,"8,320,000",SUV
247,247,Mercedes-Benz,2017.0,Nigerian Used,33853.0,3000.0,Petrol,Automatic,"33,280,000",SUV
248,248,Toyota,2015.0,Foreign Used,150157.0,2700.0,Petrol,Automatic,"10,400,000",SUV
249,249,Lexus,2007.0,Foreign Used,175836.0,3500.0,Petrol,Automatic,"4,680,000",SUV
250,250,Toyota,2010.0,Foreign Used,214972.0,2500.0,Petrol,Automatic,"3,675,000",SUV
